@relation tweet
@attribute 'id' real
@attribute 'twitter_id' real
@attribute 'username' string
@attribute 'data_end' string
@attribute 'data_start' string
@attribute 'friend_count_end' real
@attribute 'friend_count_start' real
@attribute 'folowers_end' real
@attribute 'folowers_start' real
@attribute 'statuses_end' real
@attribute 'statuses_start' real
@data
21,100220864,'BrunoMars','2013-06-01 20:00:15','2013-06-11 14:32:45',76,77,16282451,16205047,2657,2655
8,10228272,'YouTube','2013-06-01 20:00:07','2013-06-11 14:32:36',496,482,28920411,28544499,7641,7577
37,105119490,'NiallOfficial','2013-06-01 20:00:26','2013-06-11 14:32:56',4008,3640,11913776,11738425,7318,7236
67,115485051,'ConanOBrien','2013-06-01 20:00:46','2013-06-11 14:33:15',1,1,8413555,8384198,1287,1278
36,116362700,'LilTunechi','2013-06-01 20:00:25','2013-06-11 14:32:55',36,35,11976109,11841940,748,743
31,119509520,'chrisbrown','2013-06-01 20:00:22','2013-06-11 14:32:52',1819,1799,12660920,12647099,463,410
59,12925072,'TwitPic','2013-06-01 20:00:40','2013-06-11 14:33:10',27213,27216,8980087,8974681,540,539
4,14230524,'ladygaga','2013-06-01 20:00:04','2013-06-11 14:32:34',135793,135887,38136908,37874896,2662,2661
73,14502789,'ivetesangalo','2013-06-01 20:00:50','2013-06-11 14:33:20',699,699,8190396,8150024,32653,32585
78,14872237,'realmadrid','2013-06-01 20:00:53','2013-06-11 14:33:23',33,33,7941733,7858525,34745,34679
63,15485441,'jimmyfallon','2013-06-01 20:00:43','2013-06-11 14:33:13',4782,4766,8952386,8890320,6028,5992
17,155659213,'Cristiano','2013-06-01 20:00:12','2013-06-11 14:32:42',74,73,18867410,18668702,1317,1306
46,158314798,'Real_Liam_Payne','2013-06-01 20:00:32','2013-06-11 14:33:02',14838,14858,10886997,10730667,7335,7307
14,15846407,'TheEllenShow','2013-06-01 20:00:10','2013-06-11 14:32:40',46870,46888,19861507,19657541,7555,7531
93,158487331,'Njr92','2013-06-01 20:01:03','2013-06-11 14:33:33',656,656,7131747,6959575,9540,9526
50,16190898,'RyanSeacrest','2013-06-01 20:00:34','2013-06-11 14:33:04',549,548,10339171,10237434,8008,7978
10,16409683,'britneyspears','2013-06-01 20:00:08','2013-06-11 14:32:38',408821,409001,27928654,27569068,2356,2326
